player_id,name,archetype,is_trap,usage,efficiency,three_pt,playmaking,ball_security,defense,age_drift,ti_raw,ti,sv_interior,sv_three,play_comp,defense_comp,tov_comp
1001,Yannick Ellington,two_way_wing,0,46.8,60.6,57.0,37.6,55.7,77.6,0.96,9.93,9.54,0.52,0.5,1.42,3.28,2.4
1002,Emeka Dupree,floor_general,0,40.5,63.7,43.6,86.8,91.8,46.2,0.92,11.99,11.03,0.59,0.34,4.33,1.59,1.44
1003,Bryce Castellanos,young_riser,0,59.8,55.6,58.5,53.5,60.0,58.2,1.12,9.45,10.59,0.31,0.64,2.77,1.89,2.73
1004,Cyrus Colter,volume_trap,1,93.9,34.6,42.2,40.0,34.0,23.9,0.92,2.61,2.4,-1.6,0.69,2.15,1.04,5.11
1005,Cade Beckett,young_riser,0,46.8,50.1,43.7,47.0,51.4,46.9,1.12,8.12,9.09,-0.05,0.39,2.47,1.61,2.51
1006,Scottie Winslow,journeyman,0,56.7,41.2,46.8,40.0,55.2,61.2,1.0,7.15,7.15,-0.61,0.49,2.14,1.97,2.77
1007,Dmitri Xanders,journeyman,0,54.6,57.5,39.6,38.5,54.1,41.7,1.0,8.07,8.07,0.39,0.4,1.45,2.08,2.73
1008,Nolan Pryor,journeyman,0,53.8,45.2,38.0,48.5,47.2,41.6,1.0,7.18,7.18,-0.35,0.38,2.54,1.48,2.89
1009,Evan Kane,efficient_star,0,81.0,84.9,51.6,63.1,69.2,67.8,0.96,13.98,13.42,2.9,0.74,2.26,2.95,3.06
1010,Miles Everhart,volume_trap,1,84.1,36.8,46.8,45.6,40.3,24.6,0.96,4.18,4.02,-1.25,0.69,2.41,1.06,4.39
1011,Kwame Godfrey,rim_protector,0,24.0,68.8,22.6,32.9,69.7,83.9,1.0,11.5,11.5,0.55,0.12,0.82,5.04,1.43
1012,Ivan Flowers,journeyman,0,46.9,46.8,59.0,37.5,62.3,43.6,1.0,7.81,7.81,-0.22,0.52,1.42,2.15,2.25
1013,Terrence Kimura,young_riser,0,47.9,52.1,64.1,53.5,67.9,61.5,1.12,9.64,10.8,0.07,0.58,2.77,1.98,2.14
1014,Anton Sinclair,journeyman,0,49.8,52.5,45.4,54.6,65.2,38.7,1.0,8.51,8.51,0.09,0.42,1.98,1.98,2.27
1015,Isaiah Pemberton,journeyman,0,56.5,44.4,55.3,53.9,54.1,46.5,1.0,7.88,7.88,-0.4,0.57,2.79,1.6,2.79
1016,Sergei Whitfield,efficient_star,0,75.9,74.9,56.7,62.7,77.7,49.5,1.0,12.32,12.32,1.94,0.76,2.25,2.34,2.58
1017,Kenji Oakes,rim_protector,0,31.6,68.8,18.2,16.3,67.8,84.9,1.04,11.15,11.6,0.68,0.12,0.47,5.09,1.67
1018,Devon Underwood,young_riser,0,52.2,56.7,53.6,49.9,61.9,60.5,1.12,9.5,10.64,0.34,0.52,2.61,1.95,2.43
1019,Imani Vale,elite_defender,0,28.3,61.7,42.4,29.6,90.0,89.9,0.92,10.6,9.76,0.38,0.25,1.16,3.69,1.26
1020,Imani Mercer,sharpshooter,0,51.6,64.4,79.0,41.8,67.5,37.9,0.92,9.84,9.05,0.79,0.76,2.23,1.39,2.26
1021,Mekhi Hail,two_way_wing,0,47.5,55.9,66.7,50.3,71.7,80.6,1.0,10.58,10.58,0.28,0.6,1.84,3.38,2.04
1022,Devon Otieno,rim_protector,0,25.8,62.6,10.8,24.5,55.7,86.7,0.88,10.85,9.54,0.37,0.06,0.64,5.18,1.66
1023,Quincy Westbrook-Reyes,floor_general,0,52.8,54.2,40.7,92.0,74.6,40.0,1.0,10.84,10.84,0.18,0.4,4.58,1.44,2.11
1024,Pavel Castellanos,rim_protector,0,35.6,62.2,24.8,28.5,65.5,90.1,1.0,11.26,11.26,0.46,0.18,0.72,5.34,1.83
1025,Otis Everhart,journeyman,0,53.4,52.8,34.6,56.8,43.1,46.9,0.88,8.04,7.07,0.1,0.34,2.05,2.26,2.98
1026,Marcus Vann,young_riser,0,44.6,56.8,45.0,64.6,69.8,55.2,1.12,10.19,11.41,0.29,0.38,3.3,1.82,2.01
1027,Hiro Bright,sharpshooter,0,37.9,61.7,75.9,32.9,62.1,44.1,0.92,9.16,8.43,0.49,0.56,1.27,2.16,1.97
1028,Cyrus North,volume_trap,1,84.5,37.1,42.0,52.2,25.6,24.4,0.92,3.74,3.45,-1.24,0.62,2.71,1.05,5.04
1029,Tyrese Jennings,sharpshooter,0,30.8,68.6,93.0,35.2,64.1,41.6,1.0,9.75,9.75,0.68,0.59,1.34,2.08,1.71
1030,Reggie Delacroix,aging_legend,1,73.1,58.6,50.4,69.2,63.3,42.5,0.42,9.97,4.19,0.6,0.66,3.51,1.5,3.05
1031,DeMarcus Pemberton,journeyman,0,32.0,56.4,45.4,38.5,57.8,36.4,0.96,8.32,7.99,0.21,0.3,1.45,1.91,1.85
1032,Goran Everhart,floor_general,0,42.3,62.5,45.1,82.7,88.0,59.5,0.92,12.01,11.05,0.56,0.37,4.14,1.93,1.55
